index,station_complex_id,number_of_riderships,lower_bound,upper_bound
2023-01-01,611.0,86058.0,,
2023-01-02,611.0,74470.0,,
2023-01-03,611.0,115731.0,,
2023-01-04,611.0,123241.0,,
2023-01-05,611.0,121052.0,,
2023-01-06,611.0,109463.0,,
2023-01-07,611.0,83588.0,,
2023-01-08,611.0,62743.0,,
2023-01-09,611.0,101566.0,,
2023-01-10,611.0,117110.0,,
2023-01-11,611.0,121777.0,,
2023-01-12,611.0,119564.0,,
2023-01-13,611.0,108504.0,,
2023-01-14,611.0,80809.0,,
2023-01-15,611.0,66183.0,,
2023-01-16,611.0,72878.0,,
2023-01-17,611.0,116512.0,,
2023-01-18,611.0,123476.0,,
2023-01-19,611.0,119453.0,,
2023-01-20,611.0,108879.0,,
2023-01-21,611.0,79461.0,,
2023-01-22,611.0,59620.0,,
2023-01-23,611.0,101934.0,,
2023-01-24,611.0,123653.0,,
2023-01-25,611.0,122244.0,,
2023-01-26,611.0,122856.0,,
2023-01-27,611.0,110881.0,,
2023-01-28,611.0,85447.0,,
2023-01-29,611.0,62768.0,,
2023-01-30,611.0,103473.0,,
2023-01-31,611.0,123748.0,,
2023-02-01,611.0,125581.0,,
2023-02-02,611.0,122099.0,,
2023-02-03,611.0,104880.0,,
2023-02-04,611.0,67352.0,,
2023-02-05,611.0,59916.0,,
2023-02-06,611.0,106015.0,,
2023-02-07,611.0,124927.0,,
2023-02-08,611.0,127097.0,,
2023-02-09,611.0,124014.0,,
2023-02-10,611.0,114527.0,,
2023-02-11,611.0,87794.0,,
2023-02-12,611.0,64757.0,,
2023-02-13,611.0,107024.0,,
2023-02-14,611.0,128759.0,,
2023-02-15,611.0,128652.0,,
2023-02-16,611.0,123154.0,,
2023-02-17,611.0,113489.0,,
2023-02-18,611.0,90614.0,,
2023-02-19,611.0,74388.0,,
2023-02-20,611.0,82844.0,,
2023-02-21,611.0,124059.0,,
2023-02-22,611.0,130904.0,,
2023-02-23,611.0,128307.0,,
2023-02-24,611.0,116865.0,,
2023-02-25,611.0,83450.0,,
2023-02-26,611.0,64753.0,,
2023-02-27,611.0,106370.0,,
2023-02-28,611.0,111746.0,,
2023-03-01,611.0,130307.0,,
2023-03-02,611.0,130015.0,,
2023-03-03,611.0,116064.0,,
2023-03-04,611.0,85104.0,,
2023-03-05,611.0,70378.0,,
2023-03-06,611.0,110198.0,,
2023-03-07,611.0,131929.0,,
2023-03-08,611.0,136350.0,,
2023-03-09,611.0,131705.0,,
2023-03-10,611.0,118944.0,,
2023-03-11,611.0,89577.0,,
2023-03-12,611.0,71201.0,,
2023-03-13,611.0,114027.0,,
2023-03-14,611.0,127627.0,,
2023-03-15,611.0,143529.0,,
2023-03-16,611.0,140564.0,,
2023-03-17,611.0,127980.0,,
2023-03-18,611.0,97976.0,,
2023-03-19,611.0,80503.0,,
2023-03-20,611.0,112728.0,,
2023-03-21,611.0,130936.0,,
2023-03-22,611.0,136141.0,,
2023-03-23,611.0,131150.0,,
2023-03-24,611.0,121690.0,,
2023-03-25,611.0,89632.0,,
2023-03-26,611.0,76666.0,,
2023-03-27,611.0,112804.0,,
